deadline, reneging rate, batch, obs, ERWP, mean, variance, minVal, maxVal, included
60, 0.017, 5, 10, 280.813, 277.328, 21.697, 272.887, 281.769 , OK
150, 0.007, 5, 10, 310.597, 308.995, 19.444, 304.791, 313.199 , OK
175, 0.006, 5, 10, 314.552, 313.609, 238.951, 298.871, 328.346 , OK
45, 0.022, 5, 10, 280.526, 275.523, 27.805, 270.496, 280.550 , OK
25, 0.040, 5, 10, 278.344, 277.962, 94.588, 268.690, 287.234 , OK
65, 0.015, 5, 10, 284.475, 285.147, 26.107, 280.276, 290.019 , OK
50, 0.020, 5, 10, 278.815, 281.248, 77.104, 272.876, 289.619 , OK
55, 0.018, 5, 10, 275.187, 272.503, 19.978, 268.241, 276.764 , OK
70, 0.014, 5, 10, 287.636, 284.776, 68.635, 276.878, 292.675 , OK
125, 0.008, 5, 10, 309.424, 312.057, 91.382, 302.943, 321.171 , OK
75, 0.013, 5, 10, 284.698, 281.541, 40.101, 275.503, 287.578 , OK
95, 0.011, 5, 10, 298.709, 296.652, 108.078, 286.740, 306.563 , OK
200, 0.005, 5, 10, 319.018, 314.261, 58.674, 306.958, 321.564 , OK
85, 0.012, 5, 10, 291.112, 289.171, 74.217, 280.958, 297.384 , OK
15, 0.067, 5, 10, 301.808, 293.944, 118.962, 283.546, 304.343 , OK
33, 0.030, 5, 10, 270.771, 272.104, 46.010, 265.637, 278.571 , OK
20, 0.050, 5, 10, 294.210, 297.893, 65.436, 290.181, 305.606 , OK
100, 0.010, 5, 10, 296.158, 297.214, 13.308, 293.736, 300.692 , OK
90, 0.011, 5, 10, 294.164, 295.174, 72.804, 287.039, 303.309 , OK
80, 0.013, 5, 10, 291.318, 295.670, 124.874, 285.016, 306.324 , OK
40, 0.025, 5, 10, 272.829, 272.550, 29.314, 267.388, 277.712 , OK
