deadline, reneging rate, batch, obs, MEC, mean, variance, minVal, maxVal, included
60, 0.017, 7, 12, 2.918, 2.927, 0.008, 2.863, 2.991 , OK
150, 0.007, 7, 12, 2.593, 2.592, 0.001, 2.569, 2.615 , OK
175, 0.006, 7, 12, 2.565, 2.566, 0.003, 2.526, 2.607 , OK
45, 0.022, 7, 12, 3.083, 3.089, 0.004, 3.043, 3.135 , OK
25, 0.040, 7, 12, 3.335, 3.338, 0.002, 3.307, 3.368 , OK
65, 0.015, 7, 12, 2.898, 2.902, 0.004, 2.857, 2.946 , OK
50, 0.020, 7, 12, 2.998, 3.006, 0.002, 2.975, 3.037 , OK
55, 0.018, 7, 12, 2.955, 2.952, 0.001, 2.934, 2.970 , OK
70, 0.014, 7, 12, 2.864, 2.856, 0.002, 2.825, 2.887 , OK
125, 0.008, 7, 12, 2.674, 2.678, 0.001, 2.655, 2.701 , OK
75, 0.013, 7, 12, 2.816, 2.809, 0.005, 2.757, 2.861 , OK
95, 0.011, 7, 12, 2.754, 2.747, 0.002, 2.710, 2.783 , OK
200, 0.005, 7, 12, 2.551, 2.546, 0.001, 2.525, 2.567 , OK
85, 0.012, 7, 12, 2.774, 2.782, 0.001, 2.757, 2.808 , OK
15, 0.067, 7, 12, 3.625, 3.624, 0.001, 3.596, 3.652 , OK
33, 0.030, 7, 12, 3.173, 3.171, 0.005, 3.120, 3.222 , OK
20, 0.050, 7, 12, 3.488, 3.494, 0.002, 3.457, 3.530 , OK
100, 0.010, 7, 12, 2.721, 2.725, 0.002, 2.694, 2.755 , OK
90, 0.011, 7, 12, 2.769, 2.768, 0.002, 2.738, 2.798 , OK
80, 0.013, 7, 12, 2.812, 2.807, 0.002, 2.779, 2.836 , OK
40, 0.025, 7, 12, 3.096, 3.102, 0.003, 3.059, 3.146 , OK
