deadline, reneging rate, batch, obs, MRT, mean, variance, minVal, maxVal, included
60, 0.017, 7, 12, 466.521, 469.483, 882.471, 447.665, 491.301 , OK
150, 0.007, 7, 12, 528.748, 528.914, 220.761, 518.001, 539.826 , OK
175, 0.006, 7, 12, 536.880, 535.606, 385.369, 521.188, 550.024 , OK
45, 0.022, 7, 12, 463.161, 463.762, 318.338, 450.658, 476.866 , OK
25, 0.040, 7, 12, 455.236, 453.305, 107.683, 445.684, 460.927 , OK
65, 0.015, 7, 12, 473.646, 474.214, 225.916, 463.175, 485.253 , OK
50, 0.020, 7, 12, 461.461, 463.544, 211.506, 452.863, 474.226 , OK
55, 0.018, 7, 12, 455.523, 454.312, 94.442, 447.175, 461.450 , OK
70, 0.014, 7, 12, 480.109, 478.127, 153.490, 469.028, 487.227 , OK
125, 0.008, 7, 12, 524.708, 526.827, 167.517, 517.321, 536.333 , OK
75, 0.013, 7, 12, 475.574, 473.129, 353.971, 459.311, 486.947 , OK
95, 0.011, 7, 12, 502.888, 500.620, 416.079, 485.639, 515.602 , OK
200, 0.005, 7, 12, 545.717, 542.207, 69.782, 536.071, 548.342 , OK
85, 0.012, 7, 12, 488.296, 489.537, 214.605, 478.778, 500.296 , OK
15, 0.067, 7, 12, 493.586, 493.086, 432.653, 477.810, 508.363 , OK
33, 0.030, 7, 12, 443.888, 444.791, 252.568, 433.119, 456.464 , OK
20, 0.050, 7, 12, 481.773, 484.492, 238.714, 473.145, 495.840 , OK
100, 0.010, 7, 12, 498.800, 500.815, 272.086, 488.700, 512.930 , OK
90, 0.011, 7, 12, 494.106, 493.085, 222.465, 482.130, 504.040 , OK
80, 0.013, 7, 12, 487.970, 487.595, 182.337, 477.678, 497.513 , OK
40, 0.025, 7, 12, 448.834, 450.672, 178.553, 440.858, 460.486 , OK
