# deadline, batch, obs, generalMean, variance, minVal, maxVal, included
60.0, 7, 12, 37.051,2.926, 35.795, 38.308, OK
150.0, 7, 12, 36.999,0.497, 36.481, 37.517, OK
175.0, 7, 12, 37.049,1.106, 36.277, 37.821, OK
45.0, 7, 12, 37.829,1.168, 37.035, 38.622, OK
25.0, 7, 12, 38.868,0.321, 38.451, 39.284, OK
65.0, 7, 12, 37.079,0.889, 36.387, 37.772, OK
50.0, 7, 12, 37.306,0.672, 36.703, 37.908, OK
55.0, 7, 12, 36.601,0.209, 36.265, 36.937, OK
70.0, 7, 12, 36.938,0.505, 36.416, 37.459, OK
125.0, 7, 12, 37.542,0.424, 37.064, 38.020, OK
75.0, 7, 12, 36.437,1.373, 35.576, 37.297, OK
95.0, 7, 12, 37.067,1.160, 36.276, 37.858, OK
200.0, 7, 12, 37.126,0.222, 36.780, 37.471, OK
85.0, 7, 12, 36.889,0.568, 36.335, 37.443, OK
15.0, 7, 12, 42.213,1.127, 41.433, 42.992, OK
33.0, 7, 12, 37.536,1.117, 36.760, 38.313, OK
20.0, 7, 12, 41.100,0.715, 40.479, 41.721, OK
100.0, 7, 12, 36.918,0.759, 36.278, 37.558, OK
90.0, 7, 12, 36.927,0.672, 36.325, 37.529, OK
80.0, 7, 12, 36.978,0.566, 36.426, 37.531, OK
40.0, 7, 12, 37.378,0.759, 36.738, 38.018, OK
